Category: All categories

Week,Vomiting: (United States),Sore throat: (United States),Headache: (United States),Sneeze: (United States),"""soccer"": (United States)"
2023-05-28,12,7,13,3,34
2023-06-04,11,6,12,2,35
2023-06-11,11,6,13,2,39
2023-06-18,11,5,13,2,37
2023-06-25,10,5,14,2,36
2023-07-02,12,5,13,3,32
2023-07-09,11,5,13,2,41
2023-07-16,10,5,13,2,100
2023-07-23,11,5,13,3,55
2023-07-30,10,5,15,2,51
2023-08-06,11,5,14,2,51
2023-08-13,10,5,13,2,43
2023-08-20,10,6,14,2,46
2023-08-27,10,6,13,3,44
2023-09-03,10,6,13,3,51
2023-09-10,10,7,14,3,51
2023-09-17,10,6,14,3,46
2023-09-24,10,6,14,3,43
2023-10-01,10,6,13,2,45
2023-10-08,11,6,13,3,48
2023-10-15,11,6,13,3,49
2023-10-22,11,7,13,3,43
2023-10-29,11,7,12,3,43
2023-11-05,12,7,14,3,44
2023-11-12,12,7,14,3,46
2023-11-19,12,7,13,3,36
2023-11-26,12,8,14,3,34
2023-12-03,12,7,13,3,35
2023-12-10,12,8,14,3,31
2023-12-17,13,10,14,3,26
2023-12-24,14,10,14,3,21
2023-12-31,13,9,15,3,24
2024-01-07,11,7,14,3,26
2024-01-14,11,6,14,3,26
2024-01-21,12,7,14,3,29
2024-01-28,12,7,14,3,31
2024-02-04,12,7,14,3,31
2024-02-11,12,7,14,3,30
2024-02-18,11,7,14,3,33
2024-02-25,10,7,13,3,35
2024-03-03,10,6,13,3,35
2024-03-10,9,6,12,3,33
2024-03-17,9,6,13,3,39
2024-03-24,9,6,13,3,37
2024-03-31,9,6,12,3,32
2024-04-07,9,6,13,3,36
2024-04-14,10,6,14,3,37
2024-04-21,11,6,13,3,35
2024-04-28,11,6,12,3,36
2024-05-05,11,6,12,3,37
2024-05-12,11,6,12,3,38
2024-05-19,11,6,13,3,34
2024-05-26,10,6,12,3,36
