Category: All categories

Week,Vomiting: (United States),Sore throat: (United States),Headache: (United States),Sneeze: (United States),"""soccer"": (United States)"
2022-05-29,7,7,10,2,28
2022-06-05,9,6,11,2,29
2022-06-12,9,6,11,2,26
2022-06-19,9,6,11,2,20
2022-06-26,9,6,11,2,20
2022-07-03,10,6,11,2,19
2022-07-10,10,6,12,2,21
2022-07-17,10,6,12,2,23
2022-07-24,10,6,11,2,22
2022-07-31,9,5,11,2,24
2022-08-07,9,5,11,2,24
2022-08-14,9,5,11,2,28
2022-08-21,8,6,11,2,33
2022-08-28,8,6,10,2,35
2022-09-04,9,6,11,2,34
2022-09-11,8,6,10,2,34
2022-09-18,7,6,10,2,36
2022-09-25,7,5,10,2,33
2022-10-02,7,6,10,2,36
2022-10-09,7,6,10,2,33
2022-10-16,8,6,10,2,34
2022-10-23,8,6,10,2,33
2022-10-30,8,7,10,2,33
2022-11-06,7,7,11,2,34
2022-11-13,7,7,10,2,36
2022-11-20,8,8,10,3,93
2022-11-27,8,8,11,2,100
2022-12-04,8,7,11,2,58
2022-12-11,9,7,11,2,43
2022-12-18,8,9,10,2,41
2022-12-25,10,9,11,3,23
2023-01-01,10,7,11,2,23
2023-01-08,10,6,11,2,26
2023-01-15,10,6,11,2,25
2023-01-22,10,6,10,2,25
2023-01-29,11,6,11,2,24
2023-02-05,11,6,11,2,25
2023-02-12,11,6,11,2,26
2023-02-19,11,6,11,2,27
2023-02-26,11,6,11,2,27
2023-03-05,11,6,11,2,27
2023-03-12,11,6,10,2,25
2023-03-19,11,6,11,2,31
2023-03-26,10,6,10,2,30
2023-04-02,10,5,10,2,25
2023-04-09,10,5,11,2,29
2023-04-16,10,5,10,2,31
2023-04-23,9,5,10,2,29
2023-04-30,10,6,10,2,27
2023-05-07,9,6,10,2,29
2023-05-14,10,6,10,2,29
2023-05-21,10,6,11,2,29
2023-05-28,10,5,10,2,28
