Category: All categories

Week,Chills: (United States),Diarrhea: (United States),Nausea: (United States),Cough: (United States),"""soccer"": (United States)"
2020-05-31,4,30,21,21,44
2020-06-07,4,34,23,23,49
2020-06-14,5,35,24,26,58
2020-06-21,4,38,25,28,58
2020-06-28,5,40,26,29,55
2020-07-05,4,42,26,30,58
2020-07-12,5,41,25,32,61
2020-07-19,4,40,26,30,56
2020-07-26,4,40,25,29,56
2020-08-02,4,37,26,29,58
2020-08-09,4,35,23,26,64
2020-08-16,4,35,24,26,70
2020-08-23,4,34,22,24,70
2020-08-30,4,34,23,25,72
2020-09-06,4,33,23,26,77
2020-09-13,4,31,23,25,79
2020-09-20,4,33,22,28,79
2020-09-27,4,33,23,28,83
2020-10-04,4,33,24,34,86
2020-10-11,4,34,25,31,78
2020-10-18,4,34,25,32,73
2020-10-25,4,33,25,33,70
2020-11-01,4,26,21,29,55
2020-11-08,4,32,26,36,72
2020-11-15,5,34,26,37,74
2020-11-22,5,33,24,36,66
2020-11-29,5,34,27,37,58
2020-12-06,5,33,26,35,60
2020-12-13,5,34,25,38,51
2020-12-20,5,34,26,36,43
2020-12-27,6,36,27,38,42
2021-01-03,6,33,26,36,46
2021-01-10,5,33,26,33,51
2021-01-17,5,32,26,32,59
2021-01-24,5,34,27,31,56
2021-01-31,5,34,26,31,62
2021-02-07,5,32,26,30,61
2021-02-14,4,33,26,28,64
2021-02-21,5,34,26,29,77
2021-02-28,5,34,25,28,80
2021-03-07,5,32,25,29,76
2021-03-14,5,33,25,29,78
2021-03-21,5,33,24,32,96
2021-03-28,5,34,25,31,100
2021-04-04,5,36,28,33,89
2021-04-11,6,39,28,35,98
2021-04-18,6,37,27,35,98
2021-04-25,5,36,26,35,92
2021-05-02,5,35,26,35,97
2021-05-09,5,36,25,36,94
2021-05-16,4,37,24,37,94
2021-05-23,4,37,24,37,84
2021-05-30,4,39,25,38,100
