Category: All categories

Week,Chills: (United States),Diarrhea: (United States),Nausea: (United States),Cough: (United States),"""soccer"": (United States)"
2022-05-29,1,10,7,15,28
2022-06-05,1,10,6,13,29
2022-06-12,1,10,6,13,26
2022-06-19,1,11,7,12,20
2022-06-26,1,11,8,12,21
2022-07-03,1,11,7,12,19
2022-07-10,1,11,7,12,21
2022-07-17,1,11,7,11,24
2022-07-24,1,11,7,11,24
2022-07-31,1,11,7,11,24
2022-08-07,1,10,7,11,26
2022-08-14,1,10,6,11,28
2022-08-21,1,10,6,12,32
2022-08-28,1,10,6,12,35
2022-09-04,1,10,6,12,35
2022-09-11,1,10,6,13,35
2022-09-18,1,9,6,13,36
2022-09-25,1,9,6,13,35
2022-10-02,1,9,6,14,35
2022-10-09,1,9,6,15,32
2022-10-16,1,9,6,16,33
2022-10-23,1,9,6,17,32
2022-10-30,1,9,6,18,32
2022-11-06,1,9,6,19,32
2022-11-13,1,9,6,20,38
2022-11-20,1,9,6,23,95
2022-11-27,2,10,7,22,100
2022-12-04,1,9,7,21,58
2022-12-11,1,10,7,21,43
2022-12-18,1,9,7,21,40
2022-12-25,1,10,8,21,23
2023-01-01,1,10,7,18,24
2023-01-08,1,9,6,15,25
2023-01-15,1,9,7,13,27
2023-01-22,1,9,7,14,25
2023-01-29,1,10,6,14,24
2023-02-05,1,10,7,15,25
2023-02-12,1,10,7,14,26
2023-02-19,1,10,7,14,26
2023-02-26,1,10,7,14,29
2023-03-05,1,10,7,14,27
2023-03-12,1,11,7,14,25
2023-03-19,1,11,7,14,32
2023-03-26,1,10,7,14,31
2023-04-02,1,10,7,13,25
2023-04-09,1,11,7,12,28
2023-04-16,1,10,7,13,29
2023-04-23,1,10,7,12,29
2023-04-30,1,10,7,12,28
2023-05-07,1,10,7,12,29
2023-05-14,1,10,7,12,29
2023-05-21,1,11,7,12,28
2023-05-28,1,11,7,12,27
