Category: All categories

Week,Vomiting: (United States),Sore throat: (United States),Headache: (United States),Sneeze: (United States),"""soccer"": (United States)"
2020-05-31,23,11,36,9,44
2020-06-07,26,12,37,9,48
2020-06-14,27,14,39,9,57
2020-06-21,26,18,44,10,55
2020-06-28,28,20,45,10,56
2020-07-05,29,20,45,10,58
2020-07-12,28,21,49,11,62
2020-07-19,27,19,48,10,57
2020-07-26,27,19,47,10,60
2020-08-02,26,18,44,10,57
2020-08-09,26,17,42,9,64
2020-08-16,25,16,41,9,68
2020-08-23,25,15,40,8,68
2020-08-30,24,15,37,9,69
2020-09-06,25,15,40,8,77
2020-09-13,24,15,38,9,79
2020-09-20,19,16,39,9,79
2020-09-27,20,16,39,9,79
2020-10-04,21,17,42,10,84
2020-10-11,22,16,43,9,79
2020-10-18,21,16,42,9,74
2020-10-25,22,16,41,10,71
2020-11-01,17,15,35,8,54
2020-11-08,20,17,45,14,72
2020-11-15,21,19,47,11,73
2020-11-22,21,20,44,10,63
2020-11-29,20,18,46,11,61
2020-12-06,21,18,45,11,57
2020-12-13,21,17,44,10,52
2020-12-20,23,18,43,11,42
2020-12-27,24,18,51,11,42
2021-01-03,22,16,48,9,46
2021-01-10,21,14,46,10,50
2021-01-17,21,14,47,10,58
2021-01-24,23,14,46,10,57
2021-01-31,22,14,45,9,61
2021-02-07,22,14,45,9,59
2021-02-14,22,13,44,9,64
2021-02-21,22,13,46,9,78
2021-02-28,22,12,42,9,82
2021-03-07,22,13,42,8,77
2021-03-14,22,13,39,8,78
2021-03-21,22,14,38,8,95
2021-03-28,23,15,40,8,99
2021-04-04,26,16,41,9,90
2021-04-11,25,15,45,9,100
2021-04-18,24,16,44,9,100
2021-04-25,24,16,43,9,90
2021-05-02,25,15,42,9,94
2021-05-09,25,16,40,8,92
2021-05-16,26,16,39,9,94
2021-05-23,29,16,39,8,90
2021-05-30,32,16,39,9,100
