Category: All categories

Week,Chills: (United States),Diarrhea: (United States),Nausea: (United States),Cough: (United States),"""soccer"": (United States)"
2023-05-28,1,13,9,14,34
2023-06-04,1,13,8,13,35
2023-06-11,1,14,9,13,39
2023-06-18,1,14,8,12,37
2023-06-25,1,14,9,12,36
2023-07-02,1,14,8,11,32
2023-07-09,1,14,9,11,41
2023-07-16,1,13,8,10,100
2023-07-23,1,13,8,11,55
2023-07-30,1,13,8,11,51
2023-08-06,1,13,8,11,51
2023-08-13,1,13,8,11,43
2023-08-20,1,13,8,12,46
2023-08-27,1,12,8,13,44
2023-09-03,1,17,8,14,51
2023-09-10,1,13,8,14,51
2023-09-17,1,13,8,15,46
2023-09-24,1,12,8,16,43
2023-10-01,1,11,8,16,45
2023-10-08,1,11,8,17,48
2023-10-15,1,12,8,18,49
2023-10-22,1,12,8,19,43
2023-10-29,1,11,7,18,43
2023-11-05,1,12,8,21,44
2023-11-12,1,12,8,22,46
2023-11-19,1,12,8,22,36
2023-11-26,1,12,8,23,34
2023-12-03,1,12,9,21,35
2023-12-10,2,13,9,25,31
2023-12-17,2,14,9,27,26
2023-12-24,2,14,10,29,21
2023-12-31,2,14,9,27,24
2024-01-07,1,13,9,21,26
2024-01-14,1,12,8,19,26
2024-01-21,1,12,9,19,29
2024-01-28,2,12,9,17,31
2024-02-04,2,12,9,18,31
2024-02-11,2,12,9,18,30
2024-02-18,2,13,9,19,33
2024-02-25,1,12,9,18,35
2024-03-03,1,12,8,16,35
2024-03-10,1,12,8,16,33
2024-03-17,1,12,8,17,39
2024-03-24,1,13,8,16,37
2024-03-31,1,12,9,15,32
2024-04-07,1,12,8,15,36
2024-04-14,1,12,8,15,37
2024-04-21,1,12,8,15,35
2024-04-28,1,12,8,15,36
2024-05-05,1,12,9,15,37
2024-05-12,1,12,8,14,38
2024-05-19,1,13,8,15,34
2024-05-26,1,12,9,14,36
